project_short_name,case_barcode,sample_barcode,sample_type_name,CD274_counts,PDCD1LG2_counts,PDCD1_counts,HLA_A_counts,HLA_B_counts,HLA_C_counts,B2M_counts,GJA1_counts,GJB2_counts,GJA5_counts,GJB6_counts,ARNTL_counts,CLOCK_counts,PER1_counts,PER2_counts,CRY1_counts,CRY2_counts,MYC_counts,TP53_counts,CDH1_counts,VIM_counts
TCGA-LUAD,TCGA-05-4410,TCGA-05-4410-01A,Primary Tumor,408,272,109,90321,168180,113752,147135,356,1021,484,791,311,1582,1983,1370,375,1160,1291,2260,12864,6508
TCGA-LUAD,TCGA-05-4415,TCGA-05-4415-01A,Primary Tumor,356,146,104,9951,22448,15639,52034,5495,207,217,0,313,1745,4673,2241,1703,1099,6975,486,841,38002
TCGA-LUAD,TCGA-05-4417,TCGA-05-4417-01A,Primary Tumor,356,221,197,41101,59869,45954,128155,17345,600,2243,13,432,1739,1778,781,1075,1419,1758,2039,11090,17289
TCGA-LUAD,TCGA-05-4418,TCGA-05-4418-01A,Primary Tumor,1087,623,379,108679,257491,174667,444187,27427,8059,649,225,1107,1962,5506,2704,2291,1718,3056,3477,15549,15469
TCGA-LUAD,TCGA-05-4420,TCGA-05-4420-01A,Primary Tumor,171,153,86,128917,44575,108685,237470,5120,9747,1920,2884,784,4731,6230,3473,3538,2693,867,4660,15589,10495
TCGA-LUAD,TCGA-05-4422,TCGA-05-4422-01A,Primary Tumor,603,450,668,251180,319190,209144,566820,1720,2131,365,78,1552,4028,7079,3213,2575,3829,17973,11496,38355,19049
TCGA-LUAD,TCGA-05-4424,TCGA-05-4424-01A,Primary Tumor,273,306,97,38110,61087,41346,112095,3574,316,1135,29,613,1475,6643,1361,1112,1858,1862,4688,41890,15809
TCGA-LUAD,TCGA-05-4425,TCGA-05-4425-01A,Primary Tumor,615,510,101,53575,77589,54402,177669,4661,368,320,3,385,1415,1221,836,746,2324,2755,2053,10096,18475
TCGA-LUAD,TCGA-05-4426,TCGA-05-4426-01A,Primary Tumor,2879,350,219,188602,202201,166064,260478,9975,189,679,15,1940,3920,1797,2344,1529,4714,4207,3678,31491,61597
TCGA-LUAD,TCGA-05-4427,TCGA-05-4427-01A,Primary Tumor,1729,163,48,60477,70844,38916,131580,2198,3650,350,2002,621,2957,1753,968,1162,1317,3031,3204,32814,13487
TCGA-LUAD,TCGA-05-4430,TCGA-05-4430-01A,Primary Tumor,723,551,152,76218,127257,72087,305962,11995,3819,4962,262,803,2462,4967,1343,2191,2578,2223,5225,46060,31291
TCGA-LUAD,TCGA-05-4432,TCGA-05-4432-01A,Primary Tumor,649,446,336,92615,134139,97251,203746,5628,703,1294,9,944,3573,9174,2585,2657,3634,2389,6838,27907,26328
TCGA-LUAD,TCGA-05-4433,TCGA-05-4433-01A,Primary Tumor,237,159,68,98438,167888,92077,237658,1413,1013,299,4,437,1902,1152,1712,658,1786,2064,755,21756,8942
TCGA-LUAD,TCGA-05-4434,TCGA-05-4434-01A,Primary Tumor,3357,1996,560,211904,331662,202710,549321,9503,1957,1294,77,1361,3196,5658,3599,1772,3900,11449,11454,28939,49483
TCGA-LUAD,TCGA-05-5420,TCGA-05-5420-01A,Primary Tumor,652,1035,140,43379,66992,90232,453343,2239,705,378,4,604,474,703,216,774,364,1482,933,2646,6531
TCGA-LUAD,TCGA-05-5423,TCGA-05-5423-01A,Primary Tumor,249,333,73,27828,51564,61783,177650,4252,179,466,17,762,1550,1595,332,591,1563,1082,2331,9617,10974
TCGA-LUAD,TCGA-05-5425,TCGA-05-5425-01A,Primary Tumor,531,477,231,128054,217610,158635,244138,2751,1155,531,104,410,1349,6697,1628,1446,1832,1227,718,12730,9113
TCGA-LUAD,TCGA-05-5428,TCGA-05-5428-01A,Primary Tumor,217,108,17,19679,15929,11816,119248,2192,3489,452,1762,466,1035,336,315,1107,274,2597,1480,2667,5376
TCGA-LUAD,TCGA-05-5429,TCGA-05-5429-01A,Primary Tumor,38,55,16,38147,39830,41497,198333,1598,2595,186,158,520,666,530,668,601,914,1239,1449,20354,5172
TCGA-LUAD,TCGA-05-5715,TCGA-05-5715-01A,Primary Tumor,114,83,18,38012,53820,49361,90674,1639,483,824,3,267,1342,734,937,590,1300,467,2072,19710,12739
TCGA-LUAD,TCGA-35-3615,TCGA-35-3615-01A,Primary Tumor,293,206,123,68284,74369,120144,184471,9795,180,832,3,2291,3520,6366,1604,1175,3817,3488,8107,11440,10472
TCGA-LUAD,TCGA-35-4122,TCGA-35-4122-01A,Primary Tumor,1393,1060,216,83915,139161,189514,507256,4291,2558,1153,113,650,1012,1443,196,1202,888,2842,1476,12170,19973
TCGA-LUAD,TCGA-35-4123,TCGA-35-4123-01A,Primary Tumor,3489,1136,1038,78721,139927,141058,386156,5230,7631,931,747,917,1285,1136,606,908,1546,9605,1069,7543,34526
TCGA-LUAD,TCGA-35-5375,TCGA-35-5375-01A,Primary Tumor,298,179,89,35215,44413,45970,93264,1027,4627,69,1895,235,212,138,164,365,374,754,1906,3711,5922
TCGA-LUAD,TCGA-38-4625,TCGA-38-4625-01A,Primary Tumor,11624,1889,199,246215,383243,202586,436710,3111,431,14553,4,1613,3281,4325,683,1825,1587,19399,9915,28068,18698
TCGA-LUAD,TCGA-38-4625,TCGA-38-4625-11A,Solid Tissue Normal,1209,1064,45,88993,146173,140061,365418,10074,29,3052,3,1027,1693,16431,1722,1267,5818,3564,2488,6923,62035
TCGA-LUAD,TCGA-38-4626,TCGA-38-4626-01A,Primary Tumor,1946,989,182,111435,216186,173634,418552,26118,589,5941,5,939,3342,19128,3177,1857,5855,7905,4476,23317,88801
