project_short_name,case_barcode,sample_barcode,sample_type_name,CD274,PDCD1LG2,PDCD1,HLA_A,HLA_B,HLA_C,B2M,GJA1,GJB2,GJA5,GJB6,ARNTL,CLOCK,PER1,PER2,CRY1,CRY2,MYC,TP53,CDH1,VIM
TCGA-LUAD,TCGA-05-4244,TCGA-05-4244-01A,Primary Tumor,27.4265,6.4849,1.7855,1483.2143,2569.602,1615.5347,1765.6418,72.5055,19.8582,12.2331,1.8737,9.3843,15.1112,72.9434,9.956,13.9989,22.4454,57.3127,40.2195,237.5399,276.1037
TCGA-LUAD,TCGA-05-4249,TCGA-05-4249-01A,Primary Tumor,7.3737,7.124,5.4,1093.2545,1422.4855,1063.3458,1203.1737,35.8895,36.663,30.9271,2.3721,14.804,12.4844,13.6899,18.5381,24.438,31.8529,36.4987,78.2456,559.8383,197.8395
TCGA-LUAD,TCGA-05-4250,TCGA-05-4250-01A,Primary Tumor,44.0241,9.7219,27.7809,2615.1944,5471.8813,3950.6777,3523.5492,82.9014,62.6249,23.2321,2.0683,5.2295,12.1527,49.7982,20.6931,10.2452,20.5158,200.611,10.2536,374.7818,360.0542
TCGA-LUAD,TCGA-05-4382,TCGA-05-4382-01A,Primary Tumor,11.7827,21.6653,5.7146,1326.9242,2080.8354,2636.1778,2006.7534,153.2541,55.5328,44.021,5.253,4.4266,7.3277,30.4083,15.8902,17.5876,18.4148,15.2894,30.9137,417.5074,375.3299
TCGA-LUAD,TCGA-05-4384,TCGA-05-4384-01A,Primary Tumor,4.6455,5.3665,2.3536,754.3735,1031.1538,1077.419,1306.0538,83.7023,2.9259,30.1541,0.0335,36.5216,19.8278,147.7847,16.9493,27.9579,48.9118,34.0702,62.7214,210.6712,248.4439
TCGA-LUAD,TCGA-05-4389,TCGA-05-4389-01A,Primary Tumor,11.1956,11.9077,9.8574,2870.7125,3693.3788,2841.4317,2337.3687,73.3612,18.5286,9.3456,2.3802,8.7538,8.0457,14.5225,11.2156,18.7174,23.925,55.9204,35.9283,149.5499,115.0821
TCGA-LUAD,TCGA-05-4390,TCGA-05-4390-01A,Primary Tumor,4.6514,3.728,1.8131,573.9989,593.4362,1247.4102,696.2925,418.385,44.4494,22.9491,0.5366,3.0931,11.9357,130.083,12.6685,16.4113,22.5955,31.2629,36.1548,146.4015,115.3823
TCGA-LUAD,TCGA-05-4395,TCGA-05-4395-01A,Primary Tumor,5.8371,6.5783,3.359,2108.807,1461.9925,1570.8459,1457.398,34.8514,204.1447,7.6689,8.8225,6.7488,5.9288,60.6737,27.0915,14.2754,12.4003,157.8613,29.5194,123.9116,73.6816
TCGA-LUAD,TCGA-05-4396,TCGA-05-4396-01A,Primary Tumor,2.7633,3.5007,2.0622,2524.1347,3150.019,2972.6542,3138.3431,86.6156,48.3962,10.5628,1.3638,8.8676,21.607,27.0391,46.1341,26.1119,48.497,12.4407,10.0711,351.6727,90.9621
TCGA-LUAD,TCGA-05-4397,TCGA-05-4397-01A,Primary Tumor,4.376,9.4665,2.6068,3688.2653,4479.6836,5344.5562,2049.0067,15.823,15.113,1.7265,0.0964,13.8671,14.6693,35.352,12.8194,23.1413,23.0089,7.9578,17.4591,56.5387,250.4035
TCGA-LUAD,TCGA-05-4398,TCGA-05-4398-01A,Primary Tumor,58.9765,14.2625,9.2059,1308.3547,1837.2779,1583.9405,1991.9392,43.5915,44.4776,14.3941,0.8951,10.2158,8.148,10.0588,9.1616,18.1208,19.8522,50.7739,35.8106,190.3054,266.4735
TCGA-LUAD,TCGA-05-4402,TCGA-05-4402-01A,Primary Tumor,5.1454,5.462,2.0029,1759.8332,2102.7382,2891.7739,1949.7603,105.0183,39.1443,16.6896,1.3471,8.0469,8.8915,17.7908,14.0278,20.4087,37.0228,15.9118,10.2395,251.8476,266.4728
